=	v-w1f1	=-001
chutnat	v-w1197f2_ZU	chutnat-002	substituted with v-w1197f3_ZU
chutnat	v-w1197f4_ZU	chutnat-003
chválit	v-w1199f2_ZU	chválit-001
chválit	v-w1199f1	chválit-001	substituted with v-w1199f2_ZU
chvástat se	v-w1200f1	chvástat se-001
chvátat	v-w10991f2	chvátat-002
chvátat	v-w10991f3	chvátat-001
chvět se	v-w1202f1	chvět se-001
chybit	v-w10460f2	chybit-001
chybovat	v-w1205f1	chybovat-001
chybět	v-w1204f1	chybět-001
chybět	v-w1204f2	chybět-003
chybět	v-w1204f3	chybět-004
chybět	v-w1204f4	chybět-002
chybět	v-w1204f5_ZU	chybět-005
chystat	v-w1208f1	chystat-001
chystat	v-w1208f2	chystat-002
chystat se	v-w1209f2_ZU	chystat se-001
chystat se	v-w1209f1	chystat se-001	substituted with v-w1209f2_ZU
chytat	v-w1211f1	chytat-001
chytat	v-w1211f2	chytat-003
chytat	v-w1211f4_ZU	chytat-004
chytat	v-w1211hsa_1222	chytat-004	substituted with v-w1211f4_ZU
chytat	v-w1211f5_ZU	chytat-005	obsolete
chytat	v-w1211f6_ZU	chytat-002
chytat	v-w1211f3	chytat-002	substituted with v-w1211f6_ZU
chytat	v-w1211hsa_1038	chytat-006
chytat se	v-w11256f1	chytat se-001
chytat se	v-w11256f2_ZU	chytat se-002
chytat se	v-w11256hsa_1825	chytat se-002	substituted with v-w11256f2_ZU
chytat se	v-w11256f4_ZU	chytat se-003
chytat se	v-w11256f3_ZU	chytat se-003	substituted with v-w11256f4_ZU
chytit	v-w1212f1	chytit-001
chytit	v-w1212f2	chytit-004
chytit	v-w1212f4	chytit-003
chytit	v-w1212f7_ZU	chytit-007
chytit	v-w1212f8_ZU	chytit-006
chytit	v-w1212hsa_418	chytit-006	substituted with v-w1212f8_ZU
chytit	v-w1212f9_ZU	chytit-008
chytit	v-w1212f10_ZU	chytit-002
chytit	v-w1212f3	chytit-002	substituted with v-w1212f10_ZU
chytit	v-w1212hsa_417	chytit-005
chytit	v-w1212f5_ZU	chytit-005	substituted with v-w1212hsa_417
chytit	v-w1212f6_ZU	chytit-005	substituted with v-w1212hsa_417
chytit	v-w1212hsa_1421	chytit-009
chytit	v-w1212hsa_1422	chytit-010
chytit	v-w1212hsa_1423	chytit-011
chytit se	v-w1213f1	chytit se-004
chytit se	v-w1213f3	chytit se-001
chytit se	v-w1213f4	chytit se-002
chytit se	v-w1213f5_ZU	chytit se-003
chytit se	v-w1213f6_ZU	chytit se-006
chytit se	v-w1213hsa_791	chytit se-006	substituted with v-w1213f6_ZU
chytit se	v-w1213f7_ZU	chytit se-007
chytit se	v-w1213f8_ZU	chytit se-005
chytit se	v-w1213f2	chytit se-005	substituted with v-w1213f8_ZU
chytnout	v-whsa_1015f1_ZU	chytnout-001
chytnout	v-whsa_1015hsa_1016	chytnout-001	substituted with v-whsa_1015f1_ZU
chytnout	v-whsa_1015f2_ZU	chytnout-002
chytnout	v-whsa_1015f3_ZU	chytnout-003
chytnout	v-whsa_1015f4_ZU	chytnout-004
chytnout	v-whsa_1015f5_ZU	chytnout-005
chytnout	v-whsa_1015hsa_1017	chytnout-005	substituted with v-whsa_1015f5_ZU
chytnout	v-whsa_1015f6_ZU	chytnout-006
chytnout	v-whsa_1015f7_ZU	chytnout-007
chytnout	v-whsa_1015hsa_1020	chytnout-007	substituted with v-whsa_1015f7_ZU
chytnout	v-whsa_1015hsa_1018	chytnout-008
chytnout	v-whsa_1015hsa_1019	chytnout-009
chytnout se	v-w1214f1	chytnout se-001
chytnout se	v-w1214f2_ZU	chytnout se-002
chytnout se	v-w1214f3_ZU	chytnout se-003
chápat	v-w1162f1	chápat-001
chápat	v-w1162f2	chápat-003
chápat	v-w1162f3	chápat-004
chápat	v-w1162f4	chápat-002
chápat se	v-w1163f1	chápat se-001
chátrat	v-w1171f1	chátrat-001
chýlit se	v-w1206f1	chýlit se-001
chňapat	v-whsa_1771hsa_1772	chňapat-001
chňapnout	v-w11110f2	chňapnout-001
chřadnout	v-w10193f2	chřadnout-001
cinkat	v-w267f1	cinkat-002
cinkat	v-w267f2	cinkat-001
cinknout	v-whsa_347hsa_348	cinknout-001
cirkulovat	v-w269f1	cirkulovat-001
citovat	v-w279f1	citovat-001
civilizovat	v-w281f1	civilizovat-001
civět	v-w10922f2	civět-001
cizelovat	v-w282f1	cizelovat-001
claimovat	v-w284f1	claimovat-001
clít	v-w285f1	clít-001
couvat	v-w288f1	couvat-001
couvnout	v-w10667hsa_221	couvnout-002
couvnout	v-w10667hsa_259	couvnout-001
couvnout	v-w10667f2	couvnout-001	substituted with v-w10667hsa_259
cpát	v-w289f1	cpát-001
cpát	v-w289f2_ZU	cpát-003
cpát	v-w289f3_ZU	cpát-002
cpát	v-w289f4_MM	cpát-004
cpát se	v-w290f1	cpát se-002
cpát se	v-w290f2	cpát se-001
crčet	v-w291f1	crčet-001
ctít	v-w292f1	ctít-001
cukat	v-w294f1	cukat-003
cukat	v-w294f2	cukat-002
cukat	v-w294f3	cukat-001
cukat se	v-w12268_ZUf1_ZU	cukat se-001
cuknout	v-w12285_MMf2_MM	cuknout-001
cuknout	v-w12285_MMf1_MM	cuknout-001	substituted with v-w12285_MMf2_MM
cupkat	v-whsa_1556hsa_1557	cupkat-001
cupovat	v-w295f1	cupovat-001
cvaknout se	v-w12205_ZUf1_ZU	cvaknout se-001
cvičit	v-w298f1	cvičit-002
cvičit	v-w298f2	cvičit-001
cvičit	v-w298hsa_814	cvičit-003
cílit	v-w265f1	cílit-003
cílit	v-w265f4	cílit-002
cílit	v-w265f6	cílit-001
cítit	v-w274f1	cítit-004
cítit	v-w274f3	cítit-001
cítit	v-w274f4	cítit-002
cítit	v-w274f5	cítit-005
cítit	v-w274f6	cítit-003
cítit	v-w274f9_MM	cítit-006
cítit	v-w274f2	cítit-006	substituted with v-w274f9_MM
cítit	v-w274f7_ZU	cítit-006	substituted with v-w274f9_MM
cítit	v-w274f8_ZU	cítit-006	substituted with v-w274f9_MM
cítit	v-w274hsa_585	cítit-006	substituted with v-w274f9_MM
cítit se	v-w275f1	cítit se-001
cítit se	v-w275f3	cítit se-002
cítit se	v-w275f4	cítit se-003
cítit se	v-w275f8_ZU	cítit se-004
cítit se	v-w275f2	cítit se-004	substituted with v-w275f8_ZU
cítit se	v-w275f5_ZU	cítit se-004	substituted with v-w275f8_ZU
cítit se	v-w275f6_ZU	cítit se-004	substituted with v-w275f8_ZU
cítit se	v-w275f7_ZU	cítit se-004	substituted with v-w275f8_ZU
dabovat	v-w360f1	dabovat-001
danit	v-w362f1	danit-001
darovat	v-w367f1	darovat-001
datovat	v-w10072f2	datovat-001
datovat se	v-w11235f1	datovat se-001
datovat se	v-w11235hsa_989	datovat se-002
dařit se	v-w368f1	dařit se-001
dařit se	v-w368f2	dařit se-003
dařit se	v-w368f3	dařit se-002
dbát	v-w381f1	dbát-001
debatovat	v-w385f1	debatovat-001
debutovat	v-w387f1	debutovat-001
decentralizovat	v-w389f1	decentralizovat-001
defilovat	v-w392f1	defilovat-001
definovat	v-w394f1	definovat-001
deformovat	v-w396f1	deformovat-001
degenerovat	v-w11830_ZUf1_ZU	degenerovat-001
degradovat	v-w398f1	degradovat-001
deklarovat	v-w403f1	deklarovat-002
deklarovat	v-w403f2	deklarovat-001
dekontaminovat	v-w10115f2	dekontaminovat-001
delegovat	v-w414f1	delegovat-001
delegovat	v-w414f2	delegovat-002
dementovat	v-w423f1	dementovat-001
demilitarizovat	v-w10822f2	demilitarizovat-001
demobilizovat	v-w10280f2	demobilizovat-001
demobilizovat	v-w10280f3_ZU	demobilizovat-002
demokratizovat	v-w10642f2	demokratizovat-001
demolovat	v-w427f1	demolovat-001
demonstrovat	v-w431f1	demonstrovat-001
demonstrovat	v-w431f2	demonstrovat-002
demontovat	v-w433f1	demontovat-001
demoralizovat	v-w435f1	demoralizovat-001
denominovat	v-w10388f2	denominovat-001
deponovat	v-w10327f2	deponovat-002
deponovat	v-w10327f3	deponovat-001
deportovat	v-w440f1	deportovat-001
deprimovat	v-w442f1	deprimovat-001
deptat	v-w11122f2	deptat-001
desinfikovat	v-whsb_1184hsa_1185	desinfikovat-001
destabilizovat	v-w10248f2	destabilizovat-001
detekovat	v-w10476f2	detekovat-001
determinovat	v-w452f1	determinovat-001
devalvovat	v-w454f1	devalvovat-001
devalvovat	v-w454f2	devalvovat-002
devastovat	v-w456f1	devastovat-001
dezertovat	v-w10087f2	dezertovat-001
dezinterpretovat	v-whsa_1189hsa_1190	dezinterpretovat-001
dešifrovat	v-w11912_ZUf1_ZU	dešifrovat-001
diagnostikovat	v-w10508f2	diagnostikovat-001
diferencovat	v-w461f1	diferencovat-001
diferencovat se	v-w462f1	diferencovat se-003
diferencovat se	v-w462f2	diferencovat se-002
diferencovat se	v-w462f3	diferencovat se-001
diktovat	v-w466f1	diktovat-001
diktovat	v-w466hsa_1740	diktovat-002
dirigovat	v-w472f1	dirigovat-001
dirigovat	v-w472f2	dirigovat-002
diskontovat	v-w473f1	diskontovat-001
diskreditovat	v-w475f1	diskreditovat-001
diskriminovat	v-w477f1	diskriminovat-001
diskutovat	v-w479f1	diskutovat-001
diskvalifikovat	v-w481f1	diskvalifikovat-001
dislokovat	v-w482f1	dislokovat-001
dislokovat	v-w482f2	dislokovat-002
disociovat	v-whsa_628hsa_629	disociovat-001
disponovat	v-w484f1	disponovat-001
disponovat	v-w484f3_ZU	disponovat-002
disponovat	v-w484f2	disponovat-002	substituted with v-w484f3_ZU
distancovat se	v-w487f1	distancovat se-001
distribuovat	v-w489f1	distribuovat-001
distribuovat	v-w489f2	distribuovat-002
diverzifikovat	v-w496f1	diverzifikovat-001
divit se	v-w497f2_ZU	divit se-001
divit se	v-w497f1	divit se-001	substituted with v-w497f2_ZU
divit se	v-w497hsa_622	divit se-001	substituted with v-w497f2_ZU
divočet	v-w12200_ZUf1_ZU	divočet-001
divočet	v-w12200_ZUf2_ZU	divočet-002
dloubat	v-w500f1	dloubat-001
dlužit	v-w502f1	dlužit-002
dlužit	v-w502f2	dlužit-001
dlužit	v-w502hsa_1237	dlužit-003
dláždit	v-w498f1	dláždit-001
dláždit	v-w498f2	dláždit-002
dlít	v-w499f1	dlít-001
dmout se	v-whsa_229hsa_230	dmout se-001
dobelhat	v-w12326_MMf1_MM	dobelhat-001
doblekotat se	v-w11655_ZUf1_ZU	doblekotat se-001
dobrat	v-w11829_ZUf1_ZU	dobrat-001
dobrat se	v-w510f1	dobrat se-001
dobrat se	v-w510f2	dobrat se-002
dobudovat	v-w513f1	dobudovat-001
dobíjet	v-whsa_1962hsa_1963	dobíjet-001
dobírat si	v-w508f1	dobírat si-001
dobít	v-whsa_1253hsa_1254	dobít-001
dobýt	v-w514f2_ZU	dobýt-001
dobýt	v-w514f1	dobýt-001	substituted with v-w514f2_ZU
dobývat	v-w518f1	dobývat-001
dobývat se	v-w519f1	dobývat se-001
doběhnout	v-w506f2	doběhnout-001
doběhnout	v-w506f3	doběhnout-003
doběhnout	v-w506f1	doběhnout-003	substituted with v-w506f3
doběhnout	v-w506f4	doběhnout-002
doběhnout	v-w506f5	doběhnout-004
docenit	v-w521f2_ZU	docenit-001
docenit	v-w521f1	docenit-001	substituted with v-w521f2_ZU
docenit	v-w521hsa_187	docenit-001	substituted with v-w521f2_ZU
doceňovat	v-w522f1	doceňovat-001
dochodit	v-whsb_396hsa_397	dochodit-001
dochovat	v-w11816_ZUf1_ZU	dochovat-001
dochovat se	v-w570f1	dochovat se-001
dochytat	v-w571f1	dochytat-001
docházet	v-w568f1	docházet-008
docházet	v-w568f2	docházet-004
docházet	v-w568f3	docházet-002
docházet	v-w568f6	docházet-003
docházet	v-w568f7	docházet-006
docházet	v-w568f8	docházet-009
docházet	v-w568f9	docházet-007
docházet	v-w568f11_ZU	docházet-001
docházet	v-w568f4	docházet-001	substituted with v-w568f11_ZU
docházet	v-w568f10_ZU	docházet-001	substituted with v-w568f11_ZU
docházet	v-w568f12_ZU	docházet-005
docházet	v-w568f5	docházet-005	substituted with v-w568f12_ZU
docilovat	v-w524f1	docilovat-001
docvičit	v-whsb_936hsa_937	docvičit-001
docílit	v-w523f1	docílit-001
docílit	v-w523f2	docílit-002
docílit	v-w523f3	docílit-003
dodanit	v-w529f1	dodanit-001
dodat	v-w531f1	dodat-005
dodat	v-w531f2	dodat-004
dodat	v-w531f3	dodat-002
dodat	v-w531f4	dodat-001
dodat	v-w531f5_ZU	dodat-003
dodržet	v-w541f1	dodržet-001
dodržovat	v-w544f2	dodržovat-001
dodržovat	v-w544f3_ZU	dodržovat-002
dodržovat	v-w544f1	dodržovat-002	substituted with v-w544f3_ZU
dodržovávat	v-whsa_1653hsa_1654	dodržovávat-001
dodávat	v-w536f1	dodávat-004
dodávat	v-w536f2	dodávat-003
dodávat	v-w536f3	dodávat-002
dodávat	v-w536f4	dodávat-001
dodělat	v-whsa_143f2_ZU	dodělat-001
dodělat	v-whsa_143f1_ZU	dodělat-001	substituted with v-whsa_143f2_ZU
dodělat	v-whsa_143hsa_144	dodělat-001	substituted with v-whsa_143f2_ZU
dodělat se	v-w12181_ZUf1_ZU	dodělat se-001
dodělávat	v-w539f1	dodělávat-001
dodělávat	v-w539f2	dodělávat-002
dofinišovat	v-w545f1	dofinišovat-001
dohadovat	v-w549f1	dohadovat-001
dohadovat se	v-w550f1	dohadovat se-001
dohasit	v-whsa_1510f1_ZU	dohasit-001
dohasit	v-whsa_1510hsa_1511	dohasit-001	substituted with v-whsa_1510f1_ZU
dohasnout	v-w552f1	dohasnout-001
dohledávat	v-w554f1	dohledávat-001
dohlédnout	v-w555f1	dohlédnout-001
dohlédnout	v-w555f2	dohlédnout-002
dohlídnout	v-whsa_1109hsa_1110	dohlídnout-001
dohlížet	v-w557f1	dohlížet-001
dohnat	v-w558f1	dohnat-002
dohnat	v-w558f2	dohnat-001
dohnat	v-w558f3	dohnat-003
dohnat	v-w558f4	dohnat-004
dohnat	v-w558hsa_1047	dohnat-005
dohodit	v-w10107f2	dohodit-001
dohodit	v-w10107f3_ZU	dohodit-002
dohodit	v-w10107hsa_843	dohodit-002	substituted with v-w10107f3_ZU
dohodit	v-w10107f4_ZU	dohodit-003
dohodnout	v-w560f1	dohodnout-001
dohodnout se	v-w561f1	dohodnout se-001
dohonit	v-w563f1	dohonit-001
dohonit	v-w563f2_ZU	dohonit-003
dohonit	v-w563hsa_1210	dohonit-002
dohrát	v-w565f1	dohrát-001
dohrávat	v-w566f1	dohrávat-001
dohánět	v-w551f1	dohánět-002
dohánět	v-w551f2_ZU	dohánět-001
dojednat	v-w573f1	dojednat-001
dojednávat	v-w10384f2	dojednávat-001
dojet	v-w576f1	dojet-002
dojet	v-w576f2	dojet-001
dojet	v-w576f3_ZU	dojet-003
dojit	v-w581f1	dojit-001
dojit	v-w581f2	dojit-002
dojmout	v-w585f1	dojmout-001
dojímat	v-w580f1	dojímat-001
dojíst	v-w11883_ZUf1_ZU	dojíst-001
dojít	v-w582f5	dojít-010
dojít	v-w582f8	dojít-011
dojít	v-w582f9	dojít-006
dojít	v-w582f10	dojít-008
dojít	v-w582f11	dojít-002
dojít	v-w582f12_ZU	dojít-012
dojít	v-w582f13_ZU	dojít-007
dojít	v-w582f4	dojít-007	substituted with v-w582f13_ZU
dojít	v-w582f14_ZU	dojít-009
dojít	v-w582f1	dojít-009	substituted with v-w582f14_ZU
dojít	v-w582f15_ZU	dojít-001
dojít	v-w582f7	dojít-001	substituted with v-w582f15_ZU
dojít	v-w582f16_ZU	dojít-013
dojít	v-w582hsa_243	dojít-013	substituted with v-w582f16_ZU
dojít	v-w582f17_ZU	dojít-003
dojít	v-w582f2	dojít-003	substituted with v-w582f17_ZU
dojít	v-w582f19_ZU	dojít-005
dojít	v-w582f3	dojít-005	substituted with v-w582f19_ZU
dojít	v-w582f18_ZU	dojít-005	substituted with v-w582f19_ZU
dojít	v-w582f20_ZU	dojít-004
dojít	v-w582f6	dojít-004	substituted with v-w582f20_ZU
dojít	v-w582f21_ZU	dojít-014
dojít	v-w582hsa_310	dojít-015
dojíždět	v-w584f1	dojíždět-002
dojíždět	v-w584f2	dojíždět-001
dokazovat	v-w588f1	dokazovat-001
dokazovat	v-w588f2	dokazovat-002
dokazovat	v-w588f3	dokazovat-003
dokladovat	v-w593f1	dokladovat-001
doklepnout	v-w594f1	doklepnout-001
doklopýtat	v-w595f1	doklopýtat-001
dokládat	v-w592f1	dokládat-001
dokonat	v-w596f1	dokonat-001
dokonat	v-w596f2_ZU	dokonat-002
dokončit	v-w598f1	dokončit-001
dokončit	v-w598f2	dokončit-002
dokončovat	v-w600f1	dokončovat-001
dokončovat	v-w600f2	dokončovat-002
dokopat	v-w11845_ZUf1_ZU	dokopat-001
dokopat	v-w11845_ZUf2_ZU	dokopat-002
dokoupit	v-w601f1	dokoupit-001
dokralovat	v-w602f1	dokralovat-001
dokreslit	v-w604f1	dokreslit-001
dokreslovat	v-w605f1	dokreslovat-001
dokrvovat se	v-whsa_1589hsa_1590	dokrvovat se-001
dokumentovat	v-w611f1	dokumentovat-001
dokumentovat	v-w611f2_ZU	dokumentovat-002
dokumentovat	v-w611f4_ZU	dokumentovat-003
dokumentovat	v-w611f3_ZU	dokumentovat-003	substituted with v-w611f4_ZU
dokupovat	v-whsa_749f1_ZU	dokupovat-001
dokupovat	v-whsa_749hsa_750	dokupovat-001	substituted with v-whsa_749f1_ZU
dokvétat	v-whsb_631hsa_632	dokvétat-001
dokázat	v-w586f1	dokázat-002
dokázat	v-w586f2	dokázat-001
dokázat	v-w586f3	dokázat-003
dokázat	v-w586f4	dokázat-004
dokázat	v-w586f5	dokázat-005
doladit	v-w612f1	doladit-001
dolaďovat	v-w614f1	dolaďovat-001
dolehnout	v-w618f1	dolehnout-001
dolehnout	v-w618f2	dolehnout-002
doletět	v-w619f1	doletět-001
doložit	v-w623f1	doložit-001
doložit	v-w623f2	doložit-002
doléhat	v-w617f1	doléhat-001
doléhat	v-w617f2	doléhat-002
dolétnout	v-w620f1	dolétnout-001
doléčit	v-w616f1	doléčit-001
dolít	v-w12390_MMf1_MM	dolít-001
domazat	v-w626f1	domazat-001
dominovat	v-w628f1	dominovat-002
dominovat	v-w628f2	dominovat-001
domlouvat	v-whsa_916hsa_917	domlouvat-001
domlouvat se	v-w629f1	domlouvat se-001
domlouvat se	v-w629hsa_884	domlouvat se-002
domluvit	v-w631f1	domluvit-001
domluvit	v-w631f3	domluvit-002
domluvit	v-w631f4_ZU	domluvit-003
domluvit	v-w631f2	domluvit-003	substituted with v-w631f4_ZU
domluvit se	v-w632f1	domluvit se-001
domluvit se	v-w632f2	domluvit se-002
domnívat se	v-w634f1	domnívat se-001
domnívat se	v-w634f2	domnívat se-002
domoci se	v-w635f1	domoci se-001
domyslet	v-w636f1	domyslet-001
domáhat se	v-w625f1	domáhat se-001
domýšlet se	v-w637f1	domýšlet se-001
donosit	v-w641f1	donosit-001
donutit	v-w643f3_ZU	donutit-001
donutit	v-w643f1	donutit-001	substituted with v-w643f3_ZU
donutit	v-w643f2_ZU	donutit-001	substituted with v-w643f3_ZU
donášet	v-w638f1	donášet-002
donášet	v-w638f2	donášet-001
donášet	v-w638hsa_1275	donášet-003
donést	v-w639f1	donést-001
donést	v-w639f2	donést-002
donést se	v-w640f1	donést se-001
donést se	v-w640f2	donést se-002
dooblíknout	v-w12248_ZUf1_ZU	dooblíknout-001
doobědvat	v-w11035f2	doobědvat-001
doopravit	v-w11818_ZUf1_ZU	doopravit-001
dopadat	v-w645f1	dopadat-003
dopadat	v-w645f2	dopadat-002
dopadat	v-w645f3	dopadat-001
dopadnout	v-w647f2	dopadnout-004
dopadnout	v-w647f3	dopadnout-001
dopadnout	v-w647f4	dopadnout-003
dopadnout	v-w647f5	dopadnout-002
dopadnout	v-w647f6_ZU	dopadnout-005
dopadnout	v-w647f1	dopadnout-005	substituted with v-w647f6_ZU
dopisovat si	v-w651f1	dopisovat si-001
doplatit	v-w656f1	doplatit-002
doplatit	v-w656f2	doplatit-001
doplatit	v-w656f3	doplatit-003
doplavat	v-whsb_728hsa_729	doplavat-001
doplazit se	v-w657f1	doplazit se-001
doplnit	v-w661f1	doplnit-001
doplnit	v-w661f2	doplnit-002
doplnit	v-w661f3_ZU	doplnit-004
doplnit	v-w661hsa_399	doplnit-003
doplout	v-w12219_ZUf2_ZU	doplout-001
doplout	v-w12219_ZUf1_ZU	doplout-001	substituted with v-w12219_ZUf2_ZU
doplácet	v-w654f1	doplácet-001
doplácet	v-w654f2	doplácet-003
doplácet	v-w654f3	doplácet-002
doplňovat	v-w663f1	doplňovat-001
doplňovat	v-w663f2	doplňovat-002
doplňovat	v-w663f3_ZU	doplňovat-003
doplňovat se	v-w11508_ZUf1_ZU	doplňovat se-001
dopomoci	v-w667f1	dopomoci-001
dopomáhat	v-w666f1	dopomáhat-001
doporučit	v-w670f1	doporučit-001
doporučit	v-w670f2	doporučit-002
doporučovat	v-w672f1	doporučovat-001
dopouštět se	v-w674f1	dopouštět se-001
dopovat	v-w675f1	dopovat-001
dopovat	v-w675f2	dopovat-002
dopovídat	v-whsa_1924hsa_1925	dopovídat-001
dopovědět	v-w12327_MMf1_MM	dopovědět-001
dopočítat	v-whsa_1506hsa_1507	dopočítat-001
dopočítat se	v-w664f1	dopočítat se-001
dopočítávat	v-w665f1	dopočítávat-002
dopočítávat	v-w665f2	dopočítávat-001
dopracovat	v-w677f1	dopracovat-001
dopracovat se	v-w678f1	dopracovat se-001
dopravit	v-w680f2	dopravit-001
dopravit	v-w680f3_ZU	dopravit-002
dopravit	v-w680f1	dopravit-002	substituted with v-w680f3_ZU
dopravovat	v-w681f1	dopravovat-001
doprodat	v-w683f1	doprodat-001
doprodávat	v-w11509_ZUf1_ZU	doprodávat-001
doprovodit	v-w689f1	doprovodit-002
doprovodit	v-w689f2	doprovodit-001
doprovodit	v-w689f3	doprovodit-003
doprovázet	v-w687f1	doprovázet-002
doprovázet	v-w687f2	doprovázet-003
doprovázet	v-w687f3	doprovázet-001
doprovázet	v-w687f5_ZU	doprovázet-004
doprovázet	v-w687f4_ZU	doprovázet-004	substituted with v-w687f5_ZU
doprovázet	v-w687hsa_1228	doprovázet-004	substituted with v-w687f5_ZU
dopustit	v-w692f1	dopustit-001
dopustit se	v-w693f1	dopustit se-001
doputovat	v-w695f1	doputovat-001
dopátrat se	v-w11851_ZUf1_ZU	dopátrat se-001
dopéci	v-w648f1	dopéci-002
dopéci	v-w648f2	dopéci-001
dopřipravit se	v-w12247_ZUf1_ZU	dopřipravit se-001
dopřát	v-w690f1	dopřát-001
dopřát si	v-w691f1	dopřát si-001
dopřávat	v-w12273_ZUf1_ZU	dopřávat-001
dopřávat si	v-w11292f1	dopřávat si-001
dorazit	v-w696f1	dorazit-005
dorazit	v-w696f2	dorazit-001
dorazit	v-w696f3	dorazit-002
dorazit	v-w696f4	dorazit-004
dorazit	v-w696f5	dorazit-003
dorazit	v-w696hsa_673	dorazit-006
dorovnat	v-w699f1	dorovnat-001
dorozumívat se	v-w701f1	dorozumívat se-001
dorozumět se	v-w700f1	dorozumět se-002
dorozumět se	v-w700f2	dorozumět se-001
doručit	v-w703f1	doručit-001
doručit	v-w703f2	doručit-002
doručovat	v-w705f1	doručovat-001
doručovat	v-w705f2	doručovat-002
dorážet	v-w697f1	dorážet-002
dorážet	v-w697f2	dorážet-001
dorůst	v-w707f1	dorůst-002
dorůst	v-w707f4_ZU	dorůst-001
dorůst	v-w707f2	dorůst-001	substituted with v-w707f4_ZU
dorůst	v-w707f3_ZU	dorůst-001	substituted with v-w707f4_ZU
dorůstat	v-w708f1	dorůstat-001
dosadit	v-w712f1	dosadit-001
dosahovat	v-w716f1	dosahovat-002
dosahovat	v-w716f2	dosahovat-003
dosahovat	v-w716f3	dosahovat-004
dosahovat	v-w716f4	dosahovat-001
dosazovat	v-w719f1	dosazovat-001
dosekat	v-whsa_911hsa_912	dosekat-001
doslechnout se	v-w722f1	doslechnout se-002
doslechnout se	v-w722f2	doslechnout se-001
dosloužit	v-w723f1	dosloužit-001
dosloužit	v-w723f2_ZU	dosloužit-002
dosluhovat	v-w725f1	dosluhovat-001
doslýchat se	v-w11474f1	doslýchat se-001
dospívat	v-w729f1	dospívat-002
dospívat	v-w729f2	dospívat-003
dospívat	v-w729f3	dospívat-004
dospívat	v-w729f4	dospívat-001
dospět	v-w727f1	dospět-002
dospět	v-w727f2	dospět-004
dospět	v-w727f3	dospět-001
dospět	v-w727f4	dospět-005
dospět	v-w727f6_ZU	dospět-003
dospět	v-w727f5	dospět-003	substituted with v-w727f6_ZU
dostat	v-w732f3	dostat-010
dostat	v-w732f5	dostat-002
dostat	v-w732f6	dostat-005
dostat	v-w732f7	dostat-012
dostat	v-w732f8	dostat-025
dostat	v-w732f9	dostat-007
dostat	v-w732f10	dostat-022
dostat	v-w732f11	dostat-009
dostat	v-w732f12	dostat-026
dostat	v-w732f13	dostat-003
dostat	v-w732f14	dostat-013
dostat	v-w732f15	dostat-018
dostat	v-w732f16	dostat-016
dostat	v-w732f17	dostat-017
dostat	v-w732f18	dostat-020
dostat	v-w732f19	dostat-023
dostat	v-w732f20	dostat-024
dostat	v-w732f21	dostat-006
dostat	v-w732f23	dostat-008
dostat	v-w732f24	dostat-021
dostat	v-w732f25	dostat-015
dostat	v-w732f28_ZU	dostat-004
dostat	v-w732f30_ZU	dostat-027
dostat	v-w732f31_ZU	dostat-028
dostat	v-w732hsa_341	dostat-028	substituted with v-w732f31_ZU
dostat	v-w732f36_ZU	dostat-029
dostat	v-w732f32_ZU	dostat-029	substituted with v-w732f36_ZU
dostat	v-w732hsa_342	dostat-029	substituted with v-w732f36_ZU
dostat	v-w732f37_JS	dostat-019
dostat	v-w732f22	dostat-019	substituted with v-w732f37_JS
